,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,SP1,05/09/93,Ath Bilbao,Albacete,4,1,Ath Bilbao
1,SP1,05/09/93,Ath Madrid,Logrones,1,0,Ath Madrid
2,SP1,05/09/93,Barcelona,Sociedad,3,0,Barcelona
3,SP1,05/09/93,La Coruna,Celta,0,0,D
4,SP1,05/09/93,Osasuna,Real Madrid,1,4,Real Madrid
5,SP1,05/09/93,Oviedo,Valencia,0,3,Valencia
6,SP1,05/09/93,Santander,Vallecano,1,0,Santander
7,SP1,05/09/93,Tenerife,Lerida,1,0,Tenerife
8,SP1,05/09/93,Valladolid,Sp Gijon,0,1,Sp Gijon
9,SP1,05/09/93,Zaragoza,Sevilla,1,2,Sevilla
10,SP1,12/09/93,Albacete,Barcelona,0,0,D
11,SP1,12/09/93,Celta,Oviedo,1,1,D
12,SP1,12/09/93,Lerida,Ath Bilbao,1,2,Ath Bilbao
13,SP1,12/09/93,Logrones,Santander,0,1,Santander
14,SP1,12/09/93,Real Madrid,Valladolid,1,3,Valladolid
15,SP1,12/09/93,Sevilla,Osasuna,1,1,D
16,SP1,12/09/93,Sociedad,Zaragoza,2,2,D
17,SP1,12/09/93,Sp Gijon,La Coruna,0,2,La Coruna
18,SP1,12/09/93,Valencia,Ath Madrid,2,2,D
19,SP1,12/09/93,Vallecano,Tenerife,4,3,Vallecano
20,SP1,19/09/93,Ath Bilbao,Barcelona,0,0,D
21,SP1,19/09/93,Ath Madrid,Celta,3,2,Ath Madrid
22,SP1,19/09/93,La Coruna,Real Madrid,4,0,La Coruna
23,SP1,19/09/93,Lerida,Vallecano,0,1,Vallecano
24,SP1,19/09/93,Osasuna,Sociedad,0,2,Sociedad
25,SP1,19/09/93,Oviedo,Sp Gijon,0,1,Sp Gijon
26,SP1,19/09/93,Santander,Valencia,0,1,Valencia
27,SP1,19/09/93,Tenerife,Logrones,2,0,Tenerife
28,SP1,19/09/93,Valladolid,Sevilla,2,2,D
29,SP1,19/09/93,Zaragoza,Albacete,1,1,D
30,SP1,26/09/93,Albacete,Osasuna,2,1,Albacete
31,SP1,26/09/93,Barcelona,Zaragoza,4,1,Barcelona
32,SP1,26/09/93,Celta,Santander,0,0,D
33,SP1,26/09/93,Logrones,Lerida,2,1,Logrones
34,SP1,26/09/93,Real Madrid,Oviedo,0,1,Oviedo
35,SP1,26/09/93,Sevilla,La Coruna,0,0,D
36,SP1,26/09/93,Sociedad,Valladolid,1,0,Sociedad
37,SP1,26/09/93,Sp Gijon,Ath Madrid,1,1,D
38,SP1,26/09/93,Valencia,Tenerife,3,2,Valencia
